id,display_name,reputation,num_days
10676716,GMB,198176,139
9209546,jpp,151593,149
6433023,Nirav D,69169,211
14165730,mck,38531,296
16343464,mozway,112653,377
3832970,Wiktor Stribiżew,576960,380
7311767,Stephen Rauch,45664,436
5233410,Nkosi,221360,626
9515207,CertainPerformance,330532,697
2422776,Mureinik,282777,700
5393381,MSeifert,137257,706
4281779,Zakaria Acharki,65756,742
8620333,Temani Afif,221813,745
9473764,Nick,129726,751
7429447,undetected Selenium,162142,785
3597276,Michael Benjamin,318826,817
1491895,Barmar,694414,823
1983854,fedorqui,258997,828
2173917,Sourav Ghosh,131243,852
4909087,cs95,345283,872
