id,display_name,reputation,num_answers
2901002,jezrael,755922,26491
100297,Martijn Pieters,985470,19396
7964527,BENY,306449,10079
104349,Daniel Roseman,574111,8512
901925,hpaulj,207794,7839
7432,Bryan Oakley,348928,7155
190597,unutbu,796192,7141
1832058,furas,127432,6249
10035985,Andrej Kesely,133330,6211
771848,alecxe,447718,6171
908494,abarnert,340739,6048
16343464,mozway,112653,6018
20862,Ignacio Vazquez-Abrams,750526,5858
9209546,jpp,151593,5792
2336654,piRSquared,271801,5614
67579,Willem Van Onsem,409490,5572
1126841,chepner,460413,5501
4909087,cs95,345283,5444
4238408,Quang Hoang,138335,5436
6622587,eyllanesc,225515,5220
