name,num_users
Famous Question,960400
Great Answer,109261
Great Question,51997
Fanatic,42012
Populist,27944
Electorate,27510
Unsung Hero,26873
Steward,22444
Publicist,11282
Stellar Question,9965
Socratic,5282
Copy Editor,3946
Marshal,3486
Lifeboat,1397
python,761
c#,747
java,696
javascript,654
c++,507
android,386
php,354
Legendary,310
Reversal,301
jquery,292
c,232
html,230
r,215
sql,211
ios,193
css,170
Illuminator,164
.net,147
mysql,133
objective-c,129
sql-server,106
arrays,97
iphone,94
regex,93
ruby,87
ruby-on-rails,86
swift,84
bash,83
pandas,78
haskell,65
linux,64
scala,64
django,62
angular,59
asp.net,57
git,57
c++11,56
python-3.x,56
excel,48
perl,48
wpf,48
node.js,47
oracle,47
string,47
Sheriff,43
shell,42
reactjs,41
delphi,40
postgresql,40
tsql,40
vba,40
powershell,39
typescript,39
list,38
angularjs,37
linq,36
numpy,36
asp.net-mvc,35
dataframe,33
algorithm,30
pointers,30
spring,30
matlab,29
xml,29
go,28
multithreading,28
mongodb,26
json,25
ggplot2,24
windows,24
laravel,23
rust,23
sed,23
xcode,23
awk,21
azure,21
unix,21
vb.net,20
apache-spark,19
batch-file,19
database,19
kotlin,19
swing,19
templates,19
vue.js,19
flutter,18
qt,18
asp.net-core,17
entity-framework,17
sql-server-2008,17
assembly,16
dart,16
eclipse,16
python-2.7,16
amazon-web-services,15
generics,15
matplotlib,15
vim,15
winforms,15
docker,14
firebase,14
sql-server-2005,14
ajax,13
clojure,13
datetime,13
dictionary,13
f#,13
opencv,13
selenium,13
google-sheets,12
hibernate,12
java-8,12
macos,12
tensorflow,12
xaml,12
performance,11
xpath,11
xslt,11
cmd,10
cocoa,10
dplyr,10
ecmascript-6,10
kubernetes,10
spring-boot,10
svg,10
twitter-bootstrap,10
visual-studio,10
winapi,10
azure-devops,9
d3.js,9
date,9
elasticsearch,9
google-apps-script,9
groovy,9
javafx,9
maven,9
ms-access,9
opengl,9
plsql,9
symfony,9
unit-testing,9
asp.net-mvc-3,8
async-await,8
data.table,8
emacs,8
facebook,8
google-app-engine,8
grails,8
java-stream,8
spring-mvc,8
tfs,8
.htaccess,7
asynchronous,7
cmake,7
eloquent,7
gcc,7
google-chrome-extension,7
google-maps,7
gradle,7
highcharts,7
intellij-idea,7
jpa,7
machine-learning,7
magento,7
neo4j,7
scikit-learn,7
sqlite,7
svn,7
unicode,7
vuejs2,7
aggregation-framework,6
ansible,6
apache,6
apache-kafka,6
core-data,6
flexbox,6
fortran,6
google-bigquery,6
google-chrome,6
google-cloud-firestore,6
image-processing,6
julia,6
lambda,6
laravel-4,6
lisp,6
object,6
prolog,6
pyspark,6
sockets,6
sqlalchemy,6
swiftui,6
user-interface,6
wcf,6
wordpress,6
amazon-ec2,5
amazon-s3,5
android-layout,5
apache-spark-sql,5
asp.net-web-api,5
cakephp,5
canvas,5
cassandra,5
cocoa-touch,5
common-lisp,5
cuda,5
database-design,5
erlang,5
express,5
facebook-graph-api,5
github,5
google-maps-api-3,5
grep,5
image,5
jsp,5
keras,5
laravel-5,5
lua,5
mongodb-query,5
nhibernate,5
ruby-on-rails-3,5
scheme,5
seaborn,5
security,5
select,5
swift3,5
visual-studio-2010,5
visual-studio-code,5
wix,5
wolfram-mathematica,5
x86,5
android-studio,4
arm,4
arraylist,4
aws-lambda,4
beautifulsoup,4
c++17,4
class,4
coldfusion,4
cordova,4
cypher,4
django-models,4
docker-compose,4
dom,4
elisp,4
elixir,4
ember.js,4
encryption,4
excel-formula,4
firebase-realtime-database,4
flask,4
floating-point,4
function,4
group-by,4
hadoop,4
http,4
imagemagick,4
javafx-2,4
jdbc,4
jenkins,4
jestjs,4
jframe,4
join,4
jpanel,4
jquery-mobile,4
jsf,4
jtable,4
jvm,4
language-lawyer,4
makefile,4
matrix,4
mercurial,4
mod-rewrite,4
mongoose,4
ocaml,4
pandas-groupby,4
parsing,4
pdf,4
promise,4
raku,4
razor,4
react-native,4
rest,4
rxjs,4
sas,4
selenium-webdriver,4
ssl,4
stl,4
stored-procedures,4
struct,4
task-parallel-library,4
three.js,4
uitableview,4
vector,4
xpages,4
xsd,4
yii2,4
android-fragments,3
ant,3
asp.net-mvc-4,3
backbone.js,3
chart.js,3
codeigniter,3
collections,3
